Old Loadsheet Name,ItemCatagory,ItemNumber,Item,Quantity,AssetKind
MATERIALS,POLY/DISPOSAL MATERIALS,316,GAYLORD LINERS,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,317,GAYLORD PALLETS,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,318,GLOVEBAGS 44 X 60,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,319,GLOVEBAGS 22 X 60,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,320,GLOVEBAGS 44X60 CONT,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,321,GLOVEBAGS 66 X 84,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,322,GLOVEBAGS 60 X 72,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,323,V-10,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,325,V-24,EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,326,6 MIL LABLED BAGS (75),EA/CS,
MATERIALS,POLY/DISPOSAL MATERIALS,327,BLACK BAGS (50) NO PRINT,EA/RL,
MATERIALS,POLY/DISPOSAL MATERIALS,329,FIBER DRUMS ,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,331,STEEL DRUMS,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,330,MT PAIL UNLN 1 GL,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,332,MT PAIL UNLN 5 GL,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,333,"10"" FLEX DUCT 25'",EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,334,"12"" FLEX DUCT 25'",EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,363,"ATCO 12"" FLEX DUCT 25'",EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,335,POLY DUCT 500',EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,336,CLR NON-PRINT BAG (75),EA/BX,
MATERIALS,POLY/DISPOSAL MATERIALS,337,TWO YARD BAG,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,338,BLADDER BAG,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,339,DUMPSTER LINER,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,340,TACKY MAT,EACH,
MATERIALS,POLY/DISPOSAL MATERIALS,341,"8""X200' .006 Fire Retardant",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,342,"12""X200' .006 Fire Retardant",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,343,"28""X200' .006 Fire Retardant",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,344,"48""X200' .006 Fire Retardant",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,345,"8""X200' .006 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,346,"12""X200' .006 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,347,"28""X200' .006 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,348,"48""X200' .006 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,349,"8""X200' .004 FILM",ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,359,4 MIL 12 x 100 FR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,361,4 MIL 20 x 100 FR,ROLL,
MATERIALS,POLY/DISPOSAL MATERIALS,362,"36""x200 CARPET SHIELD",ROLL,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,509,SAFETY GLASSES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,526,WINTER HARD HAT LINER,EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,510,REPLACEMENT LENS',EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,521,ORANGE SAFETY VEST,EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,600,LEATHER GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,601,CLOTH GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,602,CANVAS GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,603,MAT HANDLER GLV HVY WT,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,604,NITRILE RUBBER GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,605,LATEX RUBBER GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,606,RUBBER BOOT COVERS,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,607,COVERALLS-TYVEK,EA/CS,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,608,COVERALLS-POLY,EA/CS,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,609,COVERALLS-CLOTH,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,610,SHOWER TOWELS (300),EA/CS,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,611,CLOTH RAGS - WHITE,LBS,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,612,RAIN SUIT,EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,613,ANTI VIBRATION GLOVE,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,614,WHITE TYVEK BUNNY SUIT,EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,615,"BURN SLEEVE REVC 23""",EACH,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,616,HOT MILL GLOVES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,617,MAT HANDLER GLV LT WT,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,618,COLD WEATHER GLOVE,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,619,BLUE BOOTIES,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,620,DISP NITRILE GLV (100BX),PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,622,NITRI-COAT KEVLAR GLV,PAIR,
MATERIALS,PROTECTIVE CLOTHING/GLOVES,623,NORTH FLEX COLD GLOVE,EA,
MATERIALS,TAPE/GLUE,700,"2"" DUCT TAPE (24)",EA/CS,
MATERIALS,TAPE/GLUE,701,"3"" DUCT TAPE (16)",EA/CS,
MATERIALS,TAPE/GLUE,702,"2"" MASKING TAPE-2090",EA/CS,
MATERIALS,TAPE/GLUE,703,"3"" MASKING TAPE-2090",EA/CS,
MATERIALS,TAPE/GLUE,704,"2"" SHRINK WRAP",EACH,
MATERIALS,TAPE/GLUE,705,CAST WRAP TAPE,ROLL,
MATERIALS,TAPE/GLUE,706,DOUBLE FACED TAPE,ROLL,
MATERIALS,TAPE/GLUE,707,ASJ TAPE WRAP,ROLL,
MATERIALS,TAPE/GLUE,708,GASKET TAPE,EACH,
MATERIALS,TAPE/GLUE,709,SPRAY GLUE (12),EA/CS,
MATERIALS,TAPE/GLUE,710,SPRAY FOAM 12 OZ,CAN,
MATERIALS,TAPE/GLUE,711,10 LB TANK SPRAY FOAM,EACH,
MATERIALS,TAPE/GLUE,715,CANVAS,ROLL,
MATERIALS,TAPE/GLUE,716,3M SPRAY GLUE,EA/CS,
MATERIALS,TAPE/GLUE,717,"2"" 3M TAPE-6969",EACH,
MATERIALS,TAPE/GLUE,718,"3"" 3M TAPE-6969",EACH,
MATERIALS,TAPE/GLUE,719,"2"" 3M TAPE 9589",EACH,
MATERIALS,TAPE/GLUE,721,3M 8934 STRING TAPE,EACH,
MATERIALS,TAPE/GLUE,722,HERCULINE ROPE,EACH,
MATERIALS,TAPE/GLUE,723,"2"" RED DUCT TAPE",ROLL,
MATERIALS,TAPE/GLUE,724,"3"" RED DUCT TAPE",ROLL,
MATERIALS,TAPE/GLUE,725,"3""x60 SCAPA YELLOW TAPE",ROLL,
MATERIALS,TAPE/GLUE,726,FSK TAPE,ROLL,
FLOORING ONLY,TAPE/GLUE,15872,"AMF MASKING FILM 48""",EACH,
MATERIALS,TAPE/GLUE,2642,"FSK DISK 2 1/2""",EA,
MATERIALS,KNIVES/BLADES,401,UTILITY BLADES,EACH,
MATERIALS,KNIVES/BLADES,402,SNAP OFF KNIFE,EACH,
MATERIALS,KNIVES/BLADES,403,SNAP OFF BLADES,EACH,
EQUIPMENT,KNIVES/BLADES,12070,UTILITY KNIFE,EACH,
FLOORING ONLY,KNIVES/BLADES,819,HAND CLEANER,EACH,
EQUIPMENT,KNIVES/BLADES,12071,BONE SAW,EACH,
MATERIALS,DECON MATERIALS,817,SOAP/SHAMPOO,EACH,
MATERIALS,DECON MATERIALS,819,HAND CLEANER,CAN,
MATERIALS,DECON MATERIALS,821,DECON BAGS,EACH,
MATERIALS,DECON MATERIALS,822,50 MICRON BAG 20 IN,EACH,
MATERIALS,DECON MATERIALS,823,25 MICRON BAG 20 IN,EACH,
MATERIALS,DECON MATERIALS,824,5 MICRON BAG 20 IN,EACH,
MATERIALS,DECON MATERIALS,825,5 MICRON CARTRIDGE,EACH,
MATERIALS,DECON MATERIALS,826,50 MICRON FILTER 10 IN,EACH,
MATERIALS,DECON MATERIALS,827,25 MICRON FILTER 10 IN,EACH,
MATERIALS,DECON MATERIALS,828,5 MICRON FILTER 10 IN,EACH,
MATERIALS,DECON MATERIALS,834,VIEWING WINDOWS,EACH,
MATERIALS,DECON MATERIALS,839,FILTER O-RING,EACH,
MATERIALS,CHEMICALS,712,"WC-5 (1) GAL, CP-11 GAL",GAL,
MATERIALS,CHEMICALS,713,"2"" PAINT BRUSHES",EACH,
MATERIALS,CHEMICALS,714,"3"" PAINT BRUSHES",EACH,
MATERIALS,CHEMICALS,940,PAINT ROLLER,EACH,
MATERIALS,CHEMICALS,941,PAINT PAN,EACH,
MATERIALS,CHEMICALS,900,SE-110CI ,GAL,
MATERIALS,CHEMICALS,901,FOSTERS 32-61,GAL,
MATERIALS,CHEMICALS,902,WETTING AGENT,GAL,
MATERIALS,CHEMICALS,903,JELLING COMPOUND,GAL,
MATERIALS,CHEMICALS,904,MASTIC REMOVER-NO ORD,GAL,
MATERIALS,CHEMICALS,905,MASTIC REMOVER-LOW ,GAL,
MATERIALS,CHEMICALS,942,"MASTIC REM ""CONTROL""",GAL,
MATERIALS,CHEMICALS,943,GRAFFITI REMOVER,GAL,
MATERIALS,CHEMICALS,906,ZEP SOY POWER,GAL,
MATERIALS,CHEMICALS,906,ZEP BIG ORANGE,GAL,
MATERIALS,CHEMICALS,907,BLEACH,GAL,
MATERIALS,CHEMICALS,908,TIDE,GAL,
MATERIALS,CHEMICALS,909,CARPET ADHESIVE REMOVER,GAL,
MATERIALS,CHEMICALS,910,WD-40,CAN,
MATERIALS,CHEMICALS,911,SE-110 ,GAL,
MATERIALS,CHEMICALS,912,SE-120,GAL,
MATERIALS,CHEMICALS,944,SE-130,GAL,
MATERIALS,CHEMICALS,1033,24 X 24 X2 CHARRCO FILT,EACH,
MATERIALS,CHEMICALS,913,WASHER FLUID,GAL,
MATERIALS,CHEMICALS,914,ZEP 40,CAN,
MATERIALS,CHEMICALS,915,ZEP BIG ORANGE E AEROSOL,CAN,
MATERIALS,CHEMICALS,916,ZEP 448 COIL CLEANER,GAL,
MATERIALS,CHEMICALS,917,A-1 ZEP DEGREASER,GAL,
MATERIALS,CHEMICALS,918,UNSMOKE,GAL,
MATERIALS,CHEMICALS,919,SIMPLE GREEN,GAL,
MATERIALS,CHEMICALS,920,FOSTERS 40-20,GAL,
MATERIALS,CHEMICALS,921,FOSTERS 40-80,GAL,
MATERIALS,CHEMICALS,966,FOSTERS 32-80,GAL,
MATERIALS,CHEMICALS,967,FOSTERS 40-51,GAL,
MATERIALS,CHEMICALS,922,DUCT SEALANT TUBE ,EACH,
MATERIALS,CHEMICALS,961,DUCT SEALANT GAL,GAL,
MATERIALS,CHEMICALS,962,CLEAR SILICONE,EACH,
MATERIALS,CHEMICALS,923,EXPELL - 4 OZ BOTTLE,EACH,
MATERIALS,CHEMICALS,924,DUCT BUTTER,EACH,
MATERIALS,CHEMICALS,925,OXINE,EACH,
MATERIALS,CHEMICALS,926,RV ANTI FREEZE,GAL,
MATERIALS,CHEMICALS,927,787 (SPECIAL ORDER),GAL,
MATERIALS,CHEMICALS,928,40-10,GAL,
MATERIALS,CHEMICALS,929,40-30,GAL,
MATERIALS,CHEMICALS,930,ZEP 65,CAN,
MATERIALS,CHEMICALS,931,KNOCK OUT,GAL,
MATERIALS,CHEMICALS,931,KNOCK OUT,GAL,
MATERIALS,CHEMICALS,932,3M FIRE BARRIER CAULK,TUBE,
MATERIALS,CHEMICALS,933,MOLDABLE PUTTY STICK,EACH,
MATERIALS,CHEMICALS,934,FIBER LOCK,GAL,
MATERIALS,CHEMICALS,945,HGX SPRAY FOAM,EACH,
MATERIALS,CHEMICALS,935,PEEL AWAY 1,GAL,
MATERIALS,CHEMICALS,936,PEEL AWAY NEUTRALIZER,GAL,
MATERIALS,CHEMICALS,939,PEEL AWAY 7 (5 GAL),GAL,
MATERIALS,CHEMICALS,963,PEEL AWAY ST-1,GAL,
MATERIALS,CHEMICALS,937,ZEP SS POLISH,CAN,
MATERIALS,CHEMICALS,938,GREASE EXXPRESS,GAL,
MATERIALS,CHEMICALS,946,FBRLK6425 LAGCLOTH 75 SF,SF,
MATERIALS,CHEMICALS,957,FIBERLOCK 2500,GAL,
MATERIALS,CHEMICALS,958,FIBERLOCK 6000,GAL,
MATERIALS,CHEMICALS,969,FIBERLOCK 8380 5 GAL,GAL,
MATERIALS,CHEMICALS,947,"PIPE WRAP 6"" X 15' 48/CS",GAL,
MATERIALS,CHEMICALS,948,SENTINEL 805 TSP,GAL,
MATERIALS,CHEMICALS,949,SENTINEL 626,GAL,
MATERIALS,CHEMICALS,965,SENTINEL EASY STRIP,GAL,
MATERIALS,CHEMICALS,950,ADH 40-25 FUNGICIDAL,GAL,
MATERIALS,CHEMICALS,951,40/26 W/B PRIMER BLACK,GAL,
MATERIALS,CHEMICALS,956,LEAD BARRIER COMP 5 GL,GAL,
MATERIALS,CHEMICALS,959,FRESH AIRE ODOR CONTRL,GAL,
MATERIALS,CHEMICALS,960,PROSEAL (4/CTN),GAL,
MATERIALS,CHEMICALS,964,FL 6408 GRIP TACK,GAL,
MATERIALS,CHEMICALS,968,DUCTMATE SPR LNR SEALER,GAL,
MATERIALS,CHEMICALS,971,ZONE DEFENSE - CAN,CAN,
MATERIALS,CHEMICALS,972,SIMPLE GREEN-PRO 5 DISINFECT,GAL,
MATERIALS,CHEMICALS,973,LEDI-ZOLV LEAD SOLUTION,GAL,
MATERIALS,CHEMICALS,974,WHITE ACRYLIC COATING,GAL,
MATERIALS,CHEMICALS,975,SHOCKWAVE,GAL,
MATERIALS,CHEMICALS,976,SHOCKWAVE CONCENTRATE,LBS,
FLOORING ONLY,CHEMICALS,15000,XYLOL / XYLENE,EACH,
FLOORING ONLY,CHEMICALS,15001,M E K,EACH,
FLOORING ONLY,CHEMICALS,15002,ACETONE,EACH,
FLOORING ONLY,CHEMICALS,15003,ISOPROPYL ALCOHOL,EACH,
FLOORING ONLY,CHEMICALS,15004,RETRO-PLATE,EACH,
FLOORING ONLY,CHEMICALS,15005,RETRO-GUARD SEALER,EACH,
FLOORING ONLY,CHEMICALS,15006,AMERIPOLISH STAIN SHIELD,EACH,
FLOORING ONLY,CHEMICALS,15010,CONSOLIDECK LITH SILICATE,GAL,
MATERIALS,CLEANING MATERIAL,1500,SCRUB PADS BLACK,EACH,
MATERIALS,CLEANING MATERIAL,1501,SCRUB PADS GREEN,EACH,
MATERIALS,CLEANING MATERIAL,1508,MOP HEAD,EACH,
MATERIALS,CLEANING MATERIAL,1512,WIRE BRUSH,EACH,
MATERIALS,CLEANING MATERIAL,1513,WIRE TOOTH BRUSH,EACH,
MATERIALS,CLEANING MATERIAL,1516,WALL WASHER PADS,EACH,
MATERIALS,CLEANING MATERIAL,1517,STAINLESS SPONGE,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1602,CARPET CUTTER BLADE,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1606,CARPET KNIFE BLADES,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1607,CARPET CUTTER POINTS,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1610,FLOOR MACHINE PADS,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1612,SCRAPE AWAY BLADE SET,EACH,
MATERIALS,TILE & CARPET REMOVAL MATERIAL,1616,TURBO STRIPPER BLADES,EACH,
FLOORING ONLY,TILE & CARPET REMOVAL MATERIAL,1736,FEIN BLADES,EACH,
MATERIALS,POWER TOOL MATERIAL,1703,CHOPSAW BLADE,EACH,
MATERIALS,POWER TOOL MATERIAL,1705,BAND SAW BLADE,EACH,
MATERIALS,POWER TOOL MATERIAL,1707,GAS SAW BLADE_______,EACH,
MATERIALS,POWER TOOL MATERIAL,1708,GAS SAW OIL,EACH,
MATERIALS,POWER TOOL MATERIAL,1710,GRINDER WHEEL,EACH,
MATERIALS,POWER TOOL MATERIAL,1712,SKIL SAW BLADE,EACH,
MATERIALS,POWER TOOL MATERIAL,1717,"SAWZALL BLADE - 6"" METAL",EACH,
MATERIALS,POWER TOOL MATERIAL,1718,"SAWZALL BLADE - 6"" WOOD",EACH,
MATERIALS,POWER TOOL MATERIAL,1719,"SAWZALL BLADE - 8"" METAL",EACH,
MATERIALS,POWER TOOL MATERIAL,1720,"SAWZALL BLADE - 9"" DEMO",EACH,
MATERIALS,POWER TOOL MATERIAL,1722,AIR HAMMER BITS,EACH,
MATERIALS,POWER TOOL MATERIAL,1735,"7"" BLADE HITE REV STEEL",EACH,
MATERIALS,POWER TOOL MATERIAL,1736,FEIN BLADES,EACH,
MATERIALS,POWER TOOL MATERIAL,1737,"7"" EVOLUTION BLADES",EACH,
MATERIALS,POWER TOOL MATERIAL,1745,BOSCH SAW BLADE,EACH,
MATERIALS,POWER TOOL MATERIAL,1746,BOSCH CAULK KNIFE,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12230,ELECTRIC DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12231,CORDLESS DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12232,HAMMER DRILL,EACH,
EQUIPMENT,DRILLS & DRILL BITS,12233,HAMMER DRILL BITS,EACH,
MATERIALS,DRILLS & DRILL BITS,1727,"DIAMA-CUT 4"" DBL ROW",EACH,
MATERIALS,DRILLS & DRILL BITS,1728,"DIAMA-CUT 5"" DLB ROW",EACH,
MATERIALS,DRILLS & DRILL BITS,1729,"DIAMA-CUT 7"" DBL ROW",EACH,
MATERIALS,DRILLS & DRILL BITS,1742,"DIAMA-CUT 5"" SAMURAI",EACH,
MATERIALS,DRILLS & DRILL BITS,1812,"DIAMA-CUT 4 1/2""",EACH,
MATERIALS,DRILLS & DRILL BITS,1731,"DIAMA-CUT 4"" TURBO",EACH,
MATERIALS,DRILLS & DRILL BITS,1733,"12"" DIAMA CUT HI PERF ",EACH,
MATERIALS,DRILLS & DRILL BITS,1734,"14"" DIAMA CUT HI PERF",EACH,
MATERIALS,DRILLS & DRILL BITS,1738,"4 1/2"" CUT OFF WHEELS",EACH,
MATERIALS,DRILLS & DRILL BITS,1743,"7"" Diamond Cut off Wheel",EACH,
MATERIALS,DRILLS & DRILL BITS,1724,CUT OFF WHEEL7X3/32X5/8,EACH,
MATERIALS,DRILLS & DRILL BITS,1813,"CUT OFF WHEEL 6""",EACH,
MATERIALS,DRILLS & DRILL BITS,1814,"CUT OFF WHEEL 4 1/2""",EACH,
MATERIALS,DRILLS & DRILL BITS,1804,DRILL BITS,EACH,
MATERIALS,DRILLS & DRILL BITS,1811,"1/2"" BIT",EACH,
MATERIALS,DRILLS & DRILL BITS,1805,"1/4"" BIT",EACH,
MATERIALS,DRILLS & DRILL BITS,1739,"3/8"" BIT",EACH,
MATERIALS,DRILLS & DRILL BITS,1806,"5/16"" BIT",EACH,
MATERIALS,DRILLS & DRILL BITS,1740,"7/16"" BIT",CASE,
MATERIALS,DRILLS & DRILL BITS,1807,"13/64"" BIT",EACH,
MATERIALS,DRILLS & DRILL BITS,1808,DRILL BITS - PHILLIPS,EACH,
MATERIALS,DRILLS & DRILL BITS,1809,DRILL BITS - REGULAR,EACH,
MATERIALS,DRILLS & DRILL BITS,1810,VARIBIT,EACH,
MATERIALS,DRILLS & DRILL BITS,1741,BOSCH DEMO HAMMER BITS,EACH,
MATERIALS,DRILLS & DRILL BITS,1730,"5"" WIRE CUP WHEEL",EACH,
MATERIALS,DRILLS & DRILL BITS,1723,"12"" CONCRETE BLADE5/PK",EACH,
MATERIALS,DRILLS & DRILL BITS,1725,"8"" CARBIDE PLASTER BLD",EACH,
MATERIALS,DRILLS & DRILL BITS,1726,"9"" CARBIDE PLASTER BLD",EACH,
MATERIALS,DRILLS & DRILL BITS,1744,"6"" PLASTER & DRYWALL BLADE",EACH,
MATERIALS,DRILLS & DRILL BITS,15354,"7"" T-SEG CUP GRINDING WHEELS",EACH,
MATERIALS,DRILLS & DRILL BITS,15352,"5"" T-SEG CUP GRINDING WHEELS",,
MATERIALS,HEPA VACUUM FILTERS,1001,LARGE PRE FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1002,LARGE SECOND FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1003,LARGE MAIN FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1005,SMALL PRE FILTER,EACH,
MATERIALS,HEPA VACUUM FILTERS,1006,SMALL SECOND FILTER,EACH,
